source_id,dest_id,distance,time
1,2,1.2,3
1,3,2,5
1,4,1.5,4
1,6,2.5,6
2,3,1,3
2,4,1.8,4
2,5,3,7
3,4,1.3,4
3,5,3.5,8
3,7,5,12
4,5,2.4,6
4,7,4,10
4,14,6,13
4,15,5.5,12
5,6,2,5
5,19,4,10
5,20,3.5,9
5,9,6,14
5,3,3.5,8
6,8,4.2,10
6,1,2.5,6
6,5,2,5
7,15,3.5,9
7,4,4,10
7,14,3.8,9
8,16,2,6
8,10,3.5,7
8,6,4.2,10
8,5,5,12
9,17,3,8
9,18,1.5,4
9,5,6,14
9,20,6,15
10,16,2.5,6
10,8,3.5,7
10,17,4,9
11,12,3,8
11,13,4.2,10
11,14,5,12
11,7,7,15
12,13,2.5,6
12,11,3,8
12,15,4,10
13,14,2.5,6
13,12,2.5,6
13,15,3,7
14,15,1.8,5
14,7,3.8,9
14,4,6,13
14,13,2.5,6
15,7,3.5,9
15,13,3,7
15,12,4,10
15,4,5.5,12
16,8,2,6
16,10,2.5,6
16,5,5,12
17,9,3,8
17,18,1.8,5
17,10,4,9
18,17,1.8,5
18,9,1.5,4
19,20,3,8
19,5,4,10
20,5,3.5,9
20,19,3,8
20,9,6,15
