id,name,latitude,longitude
1,FC Road,18.5204,73.8567
2,JM Road,18.5235,73.8470
3,Shivaji Nagar,18.5300,73.8500
4,Deccan Gymkhana,18.5131,73.8448
5,Swargate,18.5020,73.8633
6,Camp,18.5196,73.8760
7,Kothrud,18.5074,73.8095
8,Koregaon Park,18.5361,73.8942
9,Hadapsar,18.5028,73.9212
10,Viman Nagar,18.5679,73.9143
11,Hinjewadi,18.5912,73.7389
12,Wakad,18.6132,73.7615
13,Baner,18.5590,73.7870
14,Aundh,18.5631,73.8199
15,Pashan,18.5404,73.7915
16,Kalyani Nagar,18.5495,73.9031
17,Magarpatta,18.5174,73.9362
18,Hadapsar Industrial Area,18.4905,73.9420
19,Bibvewadi,18.4735,73.8685
20,Katraj,18.4522,73.8663
